"Company Name","Website","Industry","Segment","City","Region","Country","LinkedIn URL"
"Grand Tradition Estate","https://grandtradition.com","events services","Venue/Hotel","Davao City","","Philippines","http://www.linkedin.com/company/grand-tradition-estate"
"Every Nation Philippines","https://everynation.org.ph","religious institutions","Venue (Religious)","Paranaque","Metro Manila","Philippines","http://www.linkedin.com/company/everynationph"
"Stratworks","https://stratworks.ph","public relations & communications","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/stratworks-inc"
"Villa Milagros Events Venue","https://villamilagros.com","events services","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/villa-milagros-events-venue"
"TA-FBDI Advertising","https://ta-fbdi.com","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/themeactive-fbdi"
"Bridges PR","https://bridges.ph","public relations & communications","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/bridges-pr"
"Bull.ish Launch Agency","https://bullish.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/bullish-launch-agency"
"AWC Philippines","https://awc.com.ph","food & beverages","F&B/Hospitality Support","","","Philippines","http://www.linkedin.com/company/awcph"
"GeengerGrp, Inc.","https://geenger.com","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/geengergrp"
"Wishcraft Group of Companies","https://wishcraft.com.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/wishcraft-creative-affairs-team-inc."
"Grupo Agatep","https://grupoagatep.com","public relations & communications","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/grupoagatepmanila"
"The Ortus Club","https://ortusclub.com","events services","Event Agency","Bacoor","Calabarzon","Philippines","http://www.linkedin.com/company/ortus-club"
"SAGA PH","https://saga-ph.com","professional training & coaching","Other (Non-Event Core)","Mandaluyong","","Philippines","http://www.linkedin.com/company/saga-ph"
"Edsa Shangri-La, Manila","https://shangri-la.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/edsashangrila"
"AvePoint","https://avepoint.com","information technology & services","Other","Makati City (Metro Manila)","Metro Manila","Philippines","http://www.linkedin.com/company/avepoint"
"Ke. Creative Events Pty Ltd","https://kecreative.com.au","events services","Event Agency","","","Philippines","http://www.linkedin.com/company/kentera-events"
"The Conference Group","https://eventsmate.com.au","events services","Event Agency","Quezon City","","Philippines","http://www.linkedin.com/company/eventsmate"
"AIBC World","https://aibc.world","events services","Event Agency","","","Russia","http://www.linkedin.com/company/aibc-world"
